epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_bbox,train/loss_bbox_aux_0,train/loss_bbox_aux_1,train/loss_bbox_aux_2,train/loss_bbox_aux_3,train/loss_bbox_aux_4,train/loss_ce,train/loss_ce_aux_0,train/loss_ce_aux_1,train/loss_ce_aux_2,train/loss_ce_aux_3,train/loss_ce_aux_4,train/loss_giou,train/loss_giou_aux_0,train/loss_giou_aux_1,train/loss_giou_aux_2,train/loss_giou_aux_3,train/loss_giou_aux_4,train/loss_total,val/loss_bbox,val/loss_bbox_aux_0,val/loss_bbox_aux_1,val/loss_bbox_aux_2,val/loss_bbox_aux_3,val/loss_bbox_aux_4,val/loss_ce,val/loss_ce_aux_0,val/loss_ce_aux_1,val/loss_ce_aux_2,val/loss_ce_aux_3,val/loss_ce_aux_4,val/loss_giou,val/loss_giou_aux_0,val/loss_giou_aux_1,val/loss_giou_aux_2,val/loss_giou_aux_3,val/loss_giou_aux_4,val/loss_total
,1e-08,1.0000000000000001e-07,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,9,6.41592264175415,6.150848388671875,5.987398624420166,6.245756149291992,6.291547775268555,6.254373073577881,487.48065185546875,444.15411376953125,468.7487487792969,473.00543212890625,445.23876953125,442.2827453613281,2.320448160171509,2.4158549308776855,2.413465976715088,2.3497955799102783,2.3335301876068115,2.337834358215332,2812.42724609375,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,19,5.968482494354248,5.769954204559326,5.681060791015625,5.857974052429199,5.846968650817871,5.870193958282471,706.9296875,663.6773071289062,677.4308471679688,691.1653442382812,662.3142700195312,663.7415771484375,2.225856065750122,2.2943906784057617,2.2873692512512207,2.2511870861053467,2.2366435527801514,2.239737033843994,4113.78857421875,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,29,6.539812088012695,6.333478927612305,6.148604869842529,6.321228981018066,6.278095722198486,6.303417205810547,215.04002380371094,206.63987731933594,212.06643676757812,210.99354553222656,199.59371948242188,205.28399658203125,2.236664056777954,2.275444746017456,2.264582395553589,2.2192471027374268,2.224614381790161,2.2297401428222656,1300.992431640625,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,39,5.807637691497803,5.6525444984436035,5.438539505004883,5.569209575653076,5.5970282554626465,5.584027290344238,969.9314575195312,929.2941284179688,945.5003051757812,937.9454956054688,902.9860229492188,907.7340087890625,2.201517343521118,2.265482187271118,2.239108085632324,2.1868183612823486,2.164984941482544,2.1708240509033203,5640.26904296875,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,6.056675910949707,5.892934322357178,5.677107810974121,5.869718074798584,5.996388912200928,5.901366233825684,565.2861328125,534.4821166992188,552.3785400390625,549.2130126953125,516.54736328125,526.00341796875,2.2396230697631836,2.3820409774780273,2.366300582885742,2.310206890106201,2.276721715927124,2.282062530517578,3293.16162109375,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,59,6.09237003326416,5.887216567993164,5.710292816162109,5.9838361740112305,6.006373405456543,5.994365215301514,574.2891845703125,545.0185546875,562.28125,554.609130859375,538.2592163085938,520.6033325195312,2.2113449573516846,2.3054158687591553,2.309702157974243,2.2604634761810303,2.2220051288604736,2.228114604949951,3344.27197265625,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,69,5.778445720672607,5.549239158630371,5.387332916259766,5.627756118774414,5.704399108886719,5.654669761657715,706.0330200195312,669.1192626953125,682.0521240234375,671.1668701171875,634.733642578125,656.4177856445312,2.342613458633423,2.4311866760253906,2.409026622772217,2.336338520050049,2.3247900009155273,2.3283169269561768,4067.396728515625,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,79,6.255506992340088,6.068275451660156,5.873702049255371,5.968419075012207,6.0568389892578125,6.035195350646973,399.28472900390625,371.94219970703125,390.5531005859375,381.5567932128906,363.5470275878906,354.76904296875,2.1616146564483643,2.2401022911071777,2.2294833660125732,2.175990104675293,2.1516458988189697,2.1441822052001953,2311.013916015625,,,,,,,,,,,,,,,,,,,
