epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_bbox,train/loss_bbox_aux_0,train/loss_bbox_aux_1,train/loss_bbox_aux_2,train/loss_bbox_aux_3,train/loss_bbox_aux_4,train/loss_ce,train/loss_ce_aux_0,train/loss_ce_aux_1,train/loss_ce_aux_2,train/loss_ce_aux_3,train/loss_ce_aux_4,train/loss_giou,train/loss_giou_aux_0,train/loss_giou_aux_1,train/loss_giou_aux_2,train/loss_giou_aux_3,train/loss_giou_aux_4,train/loss_total,val/loss_bbox,val/loss_bbox_aux_0,val/loss_bbox_aux_1,val/loss_bbox_aux_2,val/loss_bbox_aux_3,val/loss_bbox_aux_4,val/loss_ce,val/loss_ce_aux_0,val/loss_ce_aux_1,val/loss_ce_aux_2,val/loss_ce_aux_3,val/loss_ce_aux_4,val/loss_giou,val/loss_giou_aux_0,val/loss_giou_aux_1,val/loss_giou_aux_2,val/loss_giou_aux_3,val/loss_giou_aux_4,val/loss_total
,1e-08,1.0000000000000001e-07,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,9,6.8038835525512695,6.601338863372803,6.876836776733398,6.884622573852539,6.803550720214844,7.019059658050537,285.4371643066406,290.0768737792969,282.7082214355469,280.0857849121094,284.715576171875,286.3528747558594,2.044452667236328,2.0771219730377197,2.0555737018585205,2.0567140579223633,2.0540518760681152,2.046452045440674,1762.700439453125,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,19,6.516015529632568,6.295315742492676,6.601290702819824,6.604073524475098,6.576336860656738,6.721123695373535,666.962158203125,679.8251953125,661.8054809570312,658.01171875,665.9594116210938,666.8541259765625,2.078169822692871,2.1332833766937256,2.127718925476074,2.1351795196533203,2.1113193035125732,2.0831379890441895,4051.401611328125,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,29,6.491750717163086,6.293414115905762,6.480195999145508,6.580593585968018,6.531787395477295,6.70167875289917,729.1697387695312,746.7529296875,725.8984375,717.2068481445312,728.489013671875,733.4232788085938,2.1202633380889893,2.1741678714752197,2.1443543434143066,2.1410205364227295,2.157498598098755,2.118168830871582,4432.875,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,39,6.888052940368652,6.645870685577393,6.882932662963867,6.955951690673828,6.949112892150879,7.06639289855957,305.8843994140625,313.81964111328125,305.10308837890625,301.360595703125,305.30694580078125,307.0578308105469,2.0689263343811035,2.099160671234131,2.070993185043335,2.075019598007202,2.0858612060546875,2.063292980194092,1892.384033203125,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,6.764232635498047,6.538026809692383,6.699559211730957,6.823612213134766,6.786413192749023,6.958137035369873,542.7937622070312,558.9104614257812,542.4884643554688,536.865478515625,543.196533203125,543.7553100585938,2.1104416847229004,2.166295051574707,2.1416432857513428,2.1464507579803467,2.142951011657715,2.116133213043213,3321.404541015625,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,59,6.685221195220947,6.499969482421875,6.7407708168029785,6.743931293487549,6.735563278198242,6.901396751403809,474.6571350097656,490.20513916015625,475.621826171875,470.62347412109375,478.2626953125,474.70068359375,2.067835807800293,2.096726417541504,2.0569517612457275,2.0712342262268066,2.0691962242126465,2.049326181411743,2916.7890625,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,69,6.9482035636901855,6.704498291015625,6.88967227935791,6.973972320556641,6.965670585632324,7.1115312576293945,318.5646057128906,331.07305908203125,320.5646667480469,316.5146179199219,321.23199462890625,321.84716796875,2.0856385231018066,2.1055142879486084,2.0762407779693604,2.086141347885132,2.097306966781616,2.071791887283325,1983.912353515625,,,,,,,,,,,,,,,,,,,
,1e-08,1.0000000000000001e-07,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,79,6.893381595611572,6.689062595367432,6.896641731262207,6.961122035980225,6.971888542175293,7.131747722625732,317.2981872558594,330.8527526855469,319.895263671875,315.9530029296875,320.36602783203125,319.074951171875,2.052482843399048,2.0694591999053955,2.0500295162200928,2.057187080383301,2.0510716438293457,2.0452988147735596,1977.3095703125,,,,,,,,,,,,,,,,,,,
0,,,86,,,,,,,,,,,,,,,,,,,,6.726560115814209,6.498744010925293,6.759713172912598,6.7926740646362305,6.761151313781738,6.914675235748291,455.0939636230469,476.1749572753906,460.427978515625,452.909423828125,460.01641845703125,457.26031494140625,2.0781190395355225,2.1196768283843994,2.094573974609375,2.0933263301849365,2.0985336303710938,2.0757713317871094,2814.896240234375
